length of search text, length of pattern, occurrences,Boyer Moore Horspool,Knuth Morris Pratt,Z,Naïve
224361,1,13277,56,60,116,64
448722,1,26554,106,119,226,129
673083,1,39831,159,173,337,191
897444,1,53108,212,228,452,243
1121805,1,66385,264,286,570,302
1346166,1,79662,317,347,686,409
1570527,1,92939,371,400,795,423
1794888,1,106216,426,459,910,479
2019249,1,119493,476,517,1030,541
2243610,1,132770,527,575,1150,601
2467971,1,146047,580,639,1252,662
2692332,1,159324,636,691,1371,755
2916693,1,172601,686,745,1493,816
3141054,1,185878,740,807,1608,860
3365415,1,199155,795,863,1717,933
3589776,1,212432,846,919,1841,991
3814137,1,225709,900,978,1947,1030
4038498,1,238986,952,1034,2073,1084
4262859,1,252263,1023,1139,2216,1156
4487220,1,265540,1059,1156,2312,1208
4711581,1,278817,1109,1213,2467,1262
